Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker
0,0.0080479334668887,2,4,-0.2357962884703367,0,1,0.9184771676276684,1,0,1.0469866784197936,1,-0.6636892170890771,2,0,-0.7049259983890862,3,-0.4282895663715403,1,0
3,-0.738667542842371,4,7,-0.4165624079606273,0,3,-0.8701833340815202,2,0,0.1405047057619635,0,1.1833123146987072,2,1,-0.7049259983890862,1,2.3348689263480744,0,0
3,-0.738667542842371,4,0,-0.714649283433832,0,4,0.9184771676276684,2,0,1.0469866784197936,0,2.238741761434584,2,1,1.0270789116578083,1,-0.4282895663715403,0,0
3,-0.9875727016121244,2,5,-0.7213837074932742,0,1,-1.7645135849361149,1,0,1.0469866784197936,0,-1.103451486562359,2,0,-0.7049259983890862,2,-0.4282895663715403,1,0
3,0.2569530922366421,2,4,-0.7064970858881915,0,4,0.9184771676276684,2,0,-1.6724592395536968,0,0.039930414068174,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
0,-1.2364778603818776,2,0,-0.6724705222194308,4,0,0.9184771676276684,1,0,0.1405047057619635,1,3.470076115959773,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
2,-0.90460431535554,2,0,0.2402211595207619,0,1,-1.7645135849361149,2,2,-1.6724592395536968,1,0.1278828679628304,2,1,-0.7049259983890862,1,2.3348689263480744,0,0
3,-0.738667542842371,2,0,-0.312356056725048,4,4,0.9184771676276684,2,0,0.1405047057619635,2,1.2712647685933636,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
1,0.2569530922366421,2,0,-0.7337892254975098,0,1,0.9184771676276684,2,0,-1.6724592395536968,1,-0.8395941248783899,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.4897623840726178,4,3,-0.1712875948483114,0,3,-0.8701833340815202,1,1,0.1405047057619635,2,-1.0154990326677027,0,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-0.738667542842371,4,9,-0.7114592930898858,4,4,0.9184771676276684,2,0,1.0469866784197936,3,1.8869319458559584,2,0,-0.7049259983890862,1,-0.4282895663715403,0,0
0,0.2569530922366421,2,3,0.2653866389007827,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.7516416709837335,1,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.9875727016121244,2,0,-0.270886182253746,2,4,-0.8701833340815202,2,0,1.0469866784197936,3,1.35921722248802,2,2,-0.7049259983890862,1,-0.4282895663715403,0,0
3,0.2569530922366421,2,4,-0.3098749531242009,2,4,0.0241469167730741,2,0,-0.7659772668958666,2,-0.0480220398264823,0,1,1.0270789116578083,2,-0.4282895663715403,1,0
1,0.5058582510063954,2,9,0.2281700848880758,0,2,0.9184771676276684,2,0,-0.7659772668958666,2,0.039930414068174,2,1,-0.7049259983890862,2,2.3348689263480744,1,0
3,2.2481943623946683,4,1,2.9485229615311748,1,2,-0.8701833340815202,1,0,1.0469866784197936,2,-1.0154990326677027,0,0,1.0270789116578083,1,-0.4282895663715403,0,0
0,1.7503840448551615,2,3,1.634246939825297,0,3,-0.8701833340815202,2,2,1.0469866784197936,1,0.8315024991200816,2,2,-0.7049259983890862,2,2.3348689263480744,0,0
3,-0.738667542842371,4,0,-0.6295828742619306,0,4,0.9184771676276684,2,0,-1.6724592395536968,0,0.2158353218574868,2,1,1.0270789116578083,1,2.3348689263480744,0,0
3,0.2569530922366421,2,0,-0.3602059118842425,4,1,0.9184771676276684,2,0,-1.6724592395536968,1,1.6230745841719891,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.9875727016121244,2,0,-0.6104429321982527,4,1,0.9184771676276684,2,0,-0.7659772668958666,0,-0.0480220398264823,2,1,-0.7049259983890862,0,-0.4282895663715403,0,0
3,0.7547634097761486,2,1,0.545751345796508,4,3,-0.8701833340815202,1,0,1.0469866784197936,1,-1.0154990326677027,1,0,-0.7049259983890862,1,-0.4282895663715403,0,0
1,-0.5727307703292022,2,9,-0.6597105608436457,2,4,-1.7645135849361149,3,0,-0.7659772668958666,0,-0.0480220398264823,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
3,-1.319446246638462,2,9,0.0626450303744176,0,3,-1.7645135849361149,2,0,1.0469866784197936,0,3.382123662065117,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
1,-0.8216359290989554,3,4,0.5315736109345244,0,3,-0.8701833340815202,2,0,1.0469866784197936,1,1.35921722248802,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-0.90460431535554,2,4,-0.3389393095912672,0,4,0.0241469167730741,2,0,1.0469866784197936,0,1.4471696763826765,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
0,2.2481943623946683,2,1,0.5375991482508674,0,3,0.9184771676276684,2,0,0.1405047057619635,1,-0.8395941248783899,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
3,-0.2408572253028645,2,9,-0.6037085081388105,1,2,0.0241469167730741,1,0,1.0469866784197936,1,-1.0154990326677027,2,0,-0.7049259983890862,1,-0.4282895663715403,0,0
3,-0.4897623840726178,1,4,-0.603354064767261,1,4,0.9184771676276684,2,0,1.0469866784197936,2,-0.1359744937211387,0,1,-0.7049259983890862,1,2.3348689263480744,0,0
0,1.584447272341993,4,7,0.9664756278258706,0,2,0.9184771676276684,2,0,0.1405047057619635,3,-0.7516416709837335,0,1,-0.7049259983890862,2,-0.4282895663715403,1,0
3,-0.2408572253028645,4,4,-0.7451314133870967,4,2,0.9184771676276684,2,0,0.1405047057619635,1,-0.5757367631944207,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
1,-0.738667542842371,2,0,-0.7259914713234189,0,4,-1.7645135849361149,0,0,-1.6724592395536968,0,0.919454953014738,2,0,1.0270789116578083,2,-0.4282895663715403,0,0
0,-0.2408572253028645,2,3,-0.2170107897782084,3,2,0.9184771676276684,2,0,-0.7659772668958666,2,-0.6636892170890771,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-1.2364778603818776,4,4,-0.9113653546438542,4,4,0.9184771676276684,2,0,1.0469866784197936,3,0.039930414068174,2,2,1.0270789116578083,2,-0.4282895663715403,0,0
3,-0.90460431535554,2,1,-0.150020992555336,1,2,-1.7645135849361149,2,1,-0.7659772668958666,0,-0.3118794015104515,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
0,-0.9875727016121244,2,4,-0.6753060691918276,0,1,0.0241469167730741,1,0,1.0469866784197936,1,-1.1914039404570154,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,1.2525737273156552,2,7,2.0500090146529657,4,2,-0.8701833340815202,2,0,1.0469866784197936,3,-0.0480220398264823,2,2,-0.7049259983890862,1,2.3348689263480744,1,0
0,0.2569530922366421,2,4,-0.4551967354595325,0,2,-0.8701833340815202,2,0,1.0469866784197936,0,-1.279356394351672,2,0,-0.7049259983890862,1,2.3348689263480744,0,0
0,0.2569530922366421,2,1,-0.1230832963175672,0,2,0.0241469167730741,2,2,1.0469866784197936,3,2.4146466692238966,0,1,-0.7049259983890862,2,2.3348689263480744,1,0
1,-0.2408572253028645,2,9,-0.2301251945255432,1,2,0.9184771676276684,2,0,1.0469866784197936,2,-0.1359744937211387,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,1.2525737273156552,4,9,1.074935299520045,4,4,0.9184771676276684,2,0,1.0469866784197936,0,0.039930414068174,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,1.2525737273156552,3,4,0.4224050524972508,0,2,0.9184771676276684,2,0,-0.7659772668958666,2,-0.8395941248783899,2,1,1.0270789116578083,3,-0.4282895663715403,1,0
3,1.2525737273156552,2,9,1.4665952250823413,4,4,0.0241469167730741,2,0,-0.7659772668958666,1,0.1278828679628304,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,0.2569530922366421,3,0,-0.9053398173275112,4,4,0.9184771676276684,3,0,1.0469866784197936,2,1.6230745841719891,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
0,-0.0749204527896956,2,3,-0.3754469768608749,4,3,0.9184771676276684,2,0,1.0469866784197936,2,0.3037877757521432,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
0,-0.2408572253028645,1,3,-0.6090251587120543,0,2,0.9184771676276684,2,0,0.1405047057619635,2,0.7435500452254252,0,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.2408572253028645,2,1,3.439781474498905,0,0,0.0241469167730741,1,0,1.0469866784197936,3,0.2158353218574868,2,2,-0.7049259983890862,3,-0.4282895663715403,1,0
3,-0.738667542842371,4,4,-0.4739822341516608,0,4,-0.8701833340815202,2,0,-0.7659772668958666,3,-0.8395941248783899,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,1.003668568545902,4,3,0.3578963588752256,2,2,-1.7645135849361149,1,0,1.0469866784197936,2,-1.103451486562359,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,-0.4067939978160333,4,0,-0.2290618644108945,0,4,-0.8701833340815202,2,2,1.0469866784197936,1,0.6555975913307688,0,0,-0.7049259983890862,2,-0.4282895663715403,1,0
0,-1.2364778603818776,4,0,-0.9234164292765402,3,3,0.0241469167730741,1,0,1.0469866784197936,0,0.3037877757521432,2,1,1.0270789116578083,1,-0.4282895663715403,1,0
3,0.2569530922366421,2,1,0.0768227652364011,1,3,0.0241469167730741,1,0,1.0469866784197936,2,-1.103451486562359,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,0.7547634097761486,4,0,0.6956808919619843,0,0,0.9184771676276684,3,0,-0.7659772668958666,2,-0.6636892170890771,2,1,1.0270789116578083,3,-0.4282895663715403,0,0
3,-1.2364778603818776,4,4,-0.6696349752470342,0,2,-1.7645135849361149,1,0,-1.6724592395536968,2,-0.6636892170890771,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,1.2525737273156552,2,3,0.0275551365910082,0,2,0.9184771676276684,1,0,-0.7659772668958666,2,-0.6636892170890771,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,-0.4897623840726178,2,4,-0.7295359050389147,2,4,0.9184771676276684,2,0,0.1405047057619635,1,1.0074074069093943,1,1,-0.7049259983890862,2,-0.4282895663715403,1,0
1,-0.738667542842371,2,0,-0.86316105611311,1,1,0.9184771676276684,1,0,-0.7659772668958666,1,-1.103451486562359,0,1,-0.7049259983890862,1,-0.4282895663715403,0,0
0,-0.738667542842371,2,3,-0.702598208801146,0,2,0.9184771676276684,2,2,-1.6724592395536968,1,-1.279356394351672,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
3,-0.738667542842371,4,3,-0.7135859533191833,0,1,-0.8701833340815202,1,0,1.0469866784197936,1,-1.1914039404570154,2,0,1.0270789116578083,1,-0.4282895663715403,0,0
0,0.7547634097761486,2,4,-0.2655695316805022,0,4,-1.7645135849361149,2,2,0.1405047057619635,1,0.3037877757521432,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
3,-0.738667542842371,2,9,-0.7780946469412086,0,2,-0.8701833340815202,3,0,-0.7659772668958666,0,-0.8395941248783899,2,1,-0.7049259983890862,2,-0.4282895663715403,1,1
3,1.2525737273156552,2,4,0.1998146151641087,4,4,-0.8701833340815202,1,0,1.0469866784197936,0,0.8315024991200816,2,1,-0.7049259983890862,1,-0.4282895663715403,1,0
3,-0.2408572253028645,2,4,-0.6260384405464346,0,2,0.9184771676276684,2,0,-0.7659772668958666,3,-0.3118794015104515,2,2,-0.7049259983890862,3,-0.4282895663715403,1,0
0,0.7547634097761486,2,3,-0.3066849627802546,0,3,0.9184771676276684,1,0,1.0469866784197936,0,-1.103451486562359,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.4897623840726178,3,6,-0.6235573369455876,3,2,0.0241469167730741,3,0,0.1405047057619635,1,2.238741761434584,1,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,-0.738667542842371,2,3,1.628221402508954,0,4,0.9184771676276684,2,0,1.0469866784197936,3,1.5351221302773328,2,2,-0.7049259983890862,3,-0.4282895663715403,1,0
1,-0.2408572253028645,4,9,0.1129759891344593,0,0,0.0241469167730741,3,0,0.1405047057619635,2,0.3917402296467996,2,1,2.759083821704704,0,2.3348689263480744,1,0
0,0.2569530922366421,1,3,0.0275551365910082,2,1,0.9184771676276684,2,0,1.0469866784197936,3,-0.4877843092997643,2,2,-0.7049259983890862,2,2.3348689263480744,1,0
0,-0.2408572253028645,2,1,1.5027484489803995,4,4,-1.7645135849361149,2,0,1.0469866784197936,1,1.35921722248802,2,2,-0.7049259983890862,2,2.3348689263480744,1,0
0,1.2525737273156552,2,1,0.7874817251933279,0,4,-0.8701833340815202,2,0,1.0469866784197936,3,0.5676451374361124,2,2,-0.7049259983890862,2,2.3348689263480744,0,0
3,-0.2408572253028645,2,9,-0.4683111402068673,0,3,0.9184771676276684,2,0,-1.6724592395536968,2,-0.1359744937211387,1,1,1.0270789116578083,2,-0.4282895663715403,1,0
2,-0.738667542842371,3,0,-0.3630414588566393,0,2,-0.8701833340815202,1,0,-0.7659772668958666,2,0.039930414068174,1,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,1.003668568545902,3,9,-0.1797942357655015,0,2,-0.8701833340815202,1,0,-0.7659772668958666,2,-0.8395941248783899,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
1,0.7547634097761486,3,4,-0.4792988847249046,1,1,0.9184771676276684,2,0,0.1405047057619635,3,-0.4877843092997643,1,1,1.0270789116578083,3,-0.4282895663715403,0,0
3,-0.9875727016121244,2,3,-0.6940915678839559,0,4,-1.7645135849361149,2,0,1.0469866784197936,2,-1.3673088482463285,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,1.2525737273156552,2,1,1.3031968307979809,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.0480220398264823,2,0,-0.7049259983890862,3,-0.4282895663715403,1,0
0,-0.738667542842371,2,3,-0.7050793124019931,0,2,-0.8701833340815202,1,0,1.0469866784197936,2,-1.3673088482463285,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,3,0,-0.439246783739801,0,4,0.9184771676276684,2,0,1.0469866784197936,3,2.150789307539928,2,2,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.738667542842371,2,0,-0.4917044027291403,0,4,0.9184771676276684,2,0,1.0469866784197936,2,0.3037877757521432,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
0,0.7547634097761486,2,3,0.1243181770240461,3,4,0.9184771676276684,1,0,1.0469866784197936,1,1.8869319458559584,2,0,1.0270789116578083,2,-0.4282895663715403,1,0
1,-0.738667542842371,4,0,-0.8199189647840601,0,3,-0.8701833340815202,2,0,0.1405047057619635,0,1.0074074069093943,2,1,1.0270789116578083,1,2.3348689263480744,0,0
3,1.2525737273156552,4,1,0.8647503801911385,3,4,0.9184771676276684,2,0,-0.7659772668958666,2,0.2158353218574868,2,1,1.0270789116578083,3,-0.4282895663715403,1,0
3,0.2569530922366421,2,4,0.1239637336524965,1,4,-0.8701833340815202,2,0,1.0469866784197936,2,-0.3998318554051079,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,0.2569530922366421,0,3,0.2972865423402458,0,4,0.0241469167730741,2,0,1.0469866784197936,3,-1.103451486562359,0,0,1.0270789116578083,2,2.3348689263480744,0,0
1,-0.738667542842371,2,4,-0.1209566360882697,0,3,-0.8701833340815202,1,0,-1.6724592395536968,0,-0.7516416709837335,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-0.738667542842371,2,4,-0.6285195441472817,0,2,0.9184771676276684,1,0,-1.6724592395536968,2,-1.103451486562359,0,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,4,4,-0.2457207028737252,3,4,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.1359744937211387,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,0.2569530922366421,1,2,-0.6781416161642243,4,4,0.9184771676276684,2,0,0.1405047057619635,2,0.3917402296467996,1,1,-0.7049259983890862,3,-0.4282895663715403,1,0
1,1.2525737273156552,2,7,-0.35382593119635,0,3,0.0241469167730741,2,0,-1.6724592395536968,2,-0.3118794015104515,2,1,1.0270789116578083,2,2.3348689263480744,0,0
1,-0.738667542842371,4,0,-0.0521946220076493,0,1,-1.7645135849361149,2,0,0.1405047057619635,0,1.1833123146987072,0,1,1.0270789116578083,1,2.3348689263480744,0,0
1,-0.738667542842371,0,3,-0.1071333445978357,0,1,0.9184771676276684,1,0,0.1405047057619635,1,-0.9275465787730462,2,0,1.0270789116578083,2,-0.4282895663715403,0,0
2,-0.738667542842371,2,3,-0.6547483536419514,4,4,0.0241469167730741,1,0,1.0469866784197936,0,1.7110270380666457,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,0.2569530922366421,2,1,-0.2131119126911629,0,4,0.9184771676276684,2,0,1.0469866784197936,2,-0.0480220398264823,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,-0.9875727016121244,2,4,-0.6356084115782735,0,3,0.9184771676276684,2,0,-0.7659772668958666,2,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.2408572253028645,4,1,-0.0149780679949424,4,0,-0.8701833340815202,2,0,1.0469866784197936,3,0.2158353218574868,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
1,2.2481943623946683,1,9,1.1146329571335991,0,4,0.9184771676276684,1,0,0.1405047057619635,3,2.0628368536452717,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
0,0.5058582510063954,0,9,0.7165930508834101,0,0,-0.8701833340815202,2,0,1.0469866784197936,1,1.2712647685933636,1,1,1.0270789116578083,2,-0.4282895663715403,1,0
1,0.7547634097761486,2,3,0.1987512850494599,0,1,-0.8701833340815202,3,0,-1.6724592395536968,1,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,1.2525737273156552,4,3,0.744239633864278,0,2,0.0241469167730741,2,2,-0.7659772668958666,1,-0.6636892170890771,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
2,0.2569530922366421,4,0,-0.6831038233659186,4,3,0.9184771676276684,2,0,-0.7659772668958666,0,0.1278828679628304,0,1,1.0270789116578083,1,2.3348689263480744,0,0
3,1.7503840448551615,4,3,0.2731843930748737,2,2,0.9184771676276684,2,0,1.0469866784197936,0,0.039930414068174,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
0,-0.2408572253028645,2,4,0.0842660760389425,0,3,0.9184771676276684,1,2,-1.6724592395536968,0,-0.9275465787730462,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
2,-0.4897623840726178,4,1,-0.3229893578715357,2,2,-0.8701833340815202,2,0,-0.7659772668958666,2,0.039930414068174,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
1,-0.2408572253028645,2,4,-0.0206491619397359,2,1,-1.7645135849361149,3,0,0.1405047057619635,0,-0.9275465787730462,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-1.2364778603818776,3,0,-0.7309536785251132,0,0,0.9184771676276684,2,0,1.0469866784197936,1,1.0074074069093943,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
0,-1.2364778603818776,1,7,-0.7348525556121586,0,4,0.9184771676276684,1,0,1.0469866784197936,3,-0.0480220398264823,2,2,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.2408572253028645,2,3,-0.4562600655741813,0,2,0.9184771676276684,2,0,1.0469866784197936,3,1.0074074069093943,0,2,1.0270789116578083,2,-0.4282895663715403,0,0
1,0.7547634097761486,3,9,-0.2723039557399444,1,4,0.9184771676276684,2,0,-0.7659772668958666,1,0.479692683541456,1,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,0.2569530922366421,2,3,0.7938617058812206,1,2,0.9184771676276684,2,0,-1.6724592395536968,2,-0.9275465787730462,1,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-0.738667542842371,2,0,-0.7242192544656709,0,2,0.9184771676276684,1,0,-0.7659772668958666,0,-1.0154990326677027,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
3,-0.9875727016121244,2,7,0.1987512850494599,4,4,-1.7645135849361149,2,0,1.0469866784197936,0,2.502599123118553,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
0,-1.2364778603818776,4,4,-0.7451314133870967,4,4,0.9184771676276684,2,0,1.0469866784197936,0,2.7664564848025224,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
0,-0.738667542842371,2,3,-0.9085298076714574,0,2,-0.8701833340815202,2,2,0.1405047057619635,1,0.2158353218574868,2,1,-0.7049259983890862,1,2.3348689263480744,0,0
1,2.2481943623946683,2,0,1.16567280263674,1,3,0.0241469167730741,2,0,-0.7659772668958666,1,-1.0154990326677027,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,2,4,-0.609379602083604,0,3,0.0241469167730741,2,0,-1.6724592395536968,2,-0.3118794015104515,0,1,-0.7049259983890862,2,2.3348689263480744,0,0
0,0.2569530922366421,4,9,-0.6696349752470342,1,3,0.9184771676276684,2,0,-1.6724592395536968,0,-0.8395941248783899,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.738667542842371,3,1,-0.6267473272895339,0,2,0.9184771676276684,3,0,1.0469866784197936,0,0.479692683541456,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
2,0.2569530922366421,2,4,0.666616535494918,0,3,0.9184771676276684,2,0,-0.7659772668958666,2,-0.9275465787730462,0,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.2408572253028645,3,0,-0.131944380606307,4,4,0.9184771676276684,2,0,1.0469866784197936,2,0.6555975913307688,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
1,0.2569530922366421,3,3,-0.4279045958502142,0,0,0.0241469167730741,1,0,-0.7659772668958666,1,-0.1359744937211387,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
0,-0.738667542842371,4,0,-0.4077013236718875,0,2,0.9184771676276684,2,0,-0.7659772668958666,1,-0.4877843092997643,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-0.9875727016121244,4,3,-0.3066849627802546,0,0,-0.8701833340815202,2,0,0.1405047057619635,2,-0.3998318554051079,2,1,-0.7049259983890862,3,-0.4282895663715403,0,0
3,-0.4897623840726178,2,0,-0.0302191329715748,3,3,-0.8701833340815202,1,0,0.1405047057619635,2,-1.3673088482463285,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
0,2.2481943623946683,2,4,1.3212734427470096,0,3,-1.7645135849361149,3,2,-1.6724592395536968,0,-0.1359744937211387,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.4897623840726178,2,4,-0.6682172017608358,4,2,0.9184771676276684,3,0,-0.7659772668958666,0,0.3917402296467996,2,0,-0.7049259983890862,2,-0.4282895663715403,1,0
